country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,tag,year
USA,USA,,,Steven Spielberg,,,Steven Spielberg,,"4 February 1994 (USA)
",Schindler's List,6,8.9,"Biography,Drama,History",1993
USA,USA,,,Frank Darabont,,,Frank Darabont,,"14 October 1994 (USA)
",The Shawshank Redemption,1,9.2,Drama,1994
USA,USA,,,Francis Ford Coppola,,,Francis Ford Coppola,,"20 December 1974 (USA)
",The Godfather: Part II,3,9.0,"Crime,Drama",1974
"USA,UK",USA,UK,,Christopher Nolan,,,Christopher Nolan,,"18 July 2008 (USA)
",The Dark Knight,4,9.0,"Action,Crime,Drama",2008
USA,USA,,,Sidney Lumet,,,Sidney Lumet,,"10 April 1957 (USA)
",12 Angry Men,5,8.9,Drama,1957
"New Zealand,USA",New Zealand,USA,,Peter Jackson,,,Peter Jackson,,"17 December 2003 (USA)
",The Lord of the Rings: The Return of the King,7,8.9,"Adventure,Drama,Fantasy",2003
USA,USA,,,Robert Zemeckis,,,Robert Zemeckis,,"6 July 1994 (USA)
",Forrest Gump,12,8.8,"Drama,Romance",1994
USA,USA,,,Francis Ford Coppola,,,Francis Ford Coppola,,"24 March 1972 (USA)
",The Godfather,2,9.1,"Crime,Drama",1972
"New Zealand,USA",New Zealand,USA,,Peter Jackson,,,Peter Jackson,,"19 December 2001 (USA)
",The Lord of the Rings: The Fellowship of the Ring,11,8.8,"Adventure,Drama,Fantasy",2001
USA,USA,,,Quentin Tarantino,,,Quentin Tarantino,,"14 October 1994 (USA)
",Pulp Fiction,8,8.9,"Crime,Drama",1994
USA,USA,,,"Lana Wachowski,Lilly Wachowski",,,Lana Wachowski,Lilly Wachowski,"31 March 1999 (USA)
",The Matrix,16,8.6,"Action,Sci-Fi",1999
"USA,Germany",USA,Germany,,David Fincher,,,David Fincher,,"15 October 1999 (USA)
",Fight Club,10,8.8,Drama,1999
"Italy,Spain,West Germany",Italy,Spain,West Germany,Sergio Leone,,,Sergio Leone,,"29 December 1967 (USA)
","The Good, the Bad and the Ugly",9,8.8,Western,1966
"New Zealand,USA",New Zealand,USA,,Peter Jackson,,,Peter Jackson,,"18 December 2002 (USA)
",The Lord of the Rings: The Two Towers,15,8.7,"Adventure,Drama,Fantasy",2002
USA,USA,,,Irvin Kershner,,,Irvin Kershner,,"20 June 1980 (USA)
",Star Wars: Episode V - The Empire Strikes Back,14,8.7,"Action,Adventure,Fantasy",1980
USA,USA,,,Rian Johnson,,,Rian Johnson,,"27 November 2019 (USA)
",Knives Out,247,8.0,"Comedy,Crime,Drama",2019
"Italy,Algeria",Italy,Algeria,,Gillo Pontecorvo,,,Gillo Pontecorvo,,"20 September 1967 (USA)
",The Battle of Algiers,249,8.0,"Drama,War",1966
India,India,,,Rajkumar Hirani,,,Rajkumar Hirani,,"19 December 2003 (India)
",Munna Bhai M.B.B.S.,248,8.0,"Comedy,Drama,Musical",2003
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"21 September 1990 (USA)
",Goodfellas,17,8.6,"Biography,Crime,Drama",1990
"West Germany,France",West Germany,France,,Wim Wenders,,,Wim Wenders,,"19 September 1984 (France)
","Paris, Texas",245,8.0,Drama,1984
USA,USA,,,James Gunn,,,James Gunn,,"1 August 2014 (USA)
",Guardians of the Galaxy,250,8.0,"Action,Adventure,Comedy",2014
Japan,Japan,,,Katsuhiro Ôtomo,,,Katsuhiro Ôtomo,,"16 July 1988 (Japan)
",Akira,244,8.0,"Animation,Action,Drama",1988
USA,USA,,,"Ron Clements,John Musker",,,Ron Clements,John Musker,"25 November 1992 (USA)
",Aladdin,246,8.0,"Animation,Adventure,Comedy",1992
"USA,India,United Arab Emirates,UK,France,Canada,Germany",USA,India,"United Arab Emirates,UK,France,Canada,Germany",Tate Taylor,,,Tate Taylor,,"10 August 2011 (USA)
",The Help,240,8.0,Drama,2011
USA,USA,,,George Roy Hill,,,George Roy Hill,,"24 September 1969 (USA)
",Butch Cassidy and the Sundance Kid,241,8.0,"Biography,Crime,Drama",1969
India,India,,,Rajkumar Hirani,,,Rajkumar Hirani,,"19 December 2014 (India)
",PK,239,8.0,"Comedy,Drama,Fantasy",2014
"UK,USA",UK,USA,,James Cameron,,,James Cameron,,"26 October 1984 (USA)
",The Terminator,243,8.0,"Action,Sci-Fi",1984
USA,USA,,,Rob Reiner,,,Rob Reiner,,"9 October 1987 (USA)
",The Princess Bride,237,8.0,"Adventure,Family,Fantasy",1987
"Hong Kong,China",Hong Kong,China,,Kar-Wai Wong,,,Kar-Wai Wong,,"9 March 2001 (USA)
",In the Mood for Love,242,8.0,"Drama,Romance",2000
South Korea,South Korea,,,Chan-wook Park,,,Chan-wook Park,,"1 June 2016 (South Korea)
",The Handmaiden,232,8.0,"Drama,Romance,Thriller",2016
France,France,,,Mathieu Kassovitz,,,Mathieu Kassovitz,,"23 February 1996 (USA)
",La Haine,234,8.0,"Crime,Drama",1995
USA,USA,,,Frank Capra,,,Frank Capra,,"22 February 1934 (USA)
",It Happened One Night,233,8.0,"Comedy,Romance",1934
"USA,France",USA,France,,Richard Linklater,,,Richard Linklater,,"30 July 2004 (USA)
",Before Sunset,238,8.0,"Drama,Romance",2004
USA,USA,,,"Pete Docter,David Silverman,1 more credit",,,Pete Docter,David Silverman,"2 November 2001 (USA)
","Monsters, Inc.",231,8.0,"Animation,Adventure,Comedy",2001
India,India,,,Anurag Kashyap,,,Anurag Kashyap,,"22 June 2012 (India)
",Gangs of Wasseypur,236,8.0,"Action,Comedy,Crime",2012
India,India,,,Ashutosh Gowariker,,,Ashutosh Gowariker,,"15 June 2001 (USA)
",Lagaan: Once Upon a Time in India,235,8.0,"Adventure,Drama,Musical",2001
